"retail_id","customer_id","items"
"536401",15862,"[""LUNCH BAG RED RETROSPOT"",""LUNCH BAG WOODLAND"",""ASSORTED COLOUR MINI CASES"",""SILVER LOOKING MIRROR"",""STRAWBERRY BATH SPONGE"",""APPLE BATH SPONGE"",""SANDWICH BATH SPONGE"",""JAZZ HEARTS PURSE NOTEBOOK"",""JUMBO BAG CHARLIE AND LOLA TOYS"",""FAIRY CAKE FLANNEL ASSORTED COLOUR"",""SET/10 PINK POLKADOT PARTY CANDLES"",""YOU'RE CONFUSING ME METAL SIGN"",""BALLOONS  WRITING SET"",""MIRRORED DISCO BALL"",""DISCO BALL ROTATOR BATTERY OPERATED"",""COSY HOUR GIANT TUBE MATCHES"",""RETROSPOT CIGAR BOX MATCHES"",""STAR PORTABLE TABLE LIGHT"",""SNOWFLAKE PORTABLE TABLE LIGHT"",""I'M ON HOLIDAY METAL SIGN"",""BLACK PIRATE TREASURE CHEST"",""BOUDOIR SQUARE TISSUE BOX"",""SKULLS SQUARE TISSUE BOX"",""BIRD HOUSE HOT WATER BOTTLE"",""METAL SIGN HER DINNER IS SERVED"",""LUNCH BAG SPACEBOY DESIGN"",""LUNCH BAG PINK POLKADOT"",""METAL SIGN TAKE IT OR LEAVE IT"",""ENAMEL FIRE BUCKET CREAM"",""SET OF 9 HEART SHAPED BALLOONS"",""GROW YOUR OWN BASIL IN ENAMEL MUG"",""SILK PURSE BABUSHKA RED"",""GUMBALL COAT RACK"",""TV DINNER TRAY VINTAGE PAISLEY"",""PICNIC BASKET WICKER SMALL"",""PICTURE DOMINOES"",""LUNCH BAG DOLLY GIRL DESIGN"",""PHOTO FRAME CORNICE"",""TRIPLE PHOTO FRAME CORNICE"",""FAMILY PHOTO FRAME CORNICE"",""CANDLEHOLDER PINK HANGING HEART"",""SET OF 6 T-LIGHTS SANTA"",""SET OF 6 T-LIGHTS SNOWMEN"",""BREAD BIN DINER STYLE PINK"",""SET 20 NAPKINS FAIRY CAKES DESIGN"",""JAM MAKING SET PRINTED"",""DOORMAT TOPIARY"",""WOOD 2 DRAWER CABINET WHITE FINISH"",""KITCHEN METAL SIGN"",""BATHROOM METAL SIGN"",""TOILET METAL SIGN"",""S/6 SEW ON CROCHET FLOWERS"",""60 TEATIME FAIRY CAKE CASES"",""LADIES & GENTLEMEN METAL SIGN"",""LAVENDER INCENSE IN TIN"",""TEA TIME TABLE CLOTH"",""ENGLISH ROSE HOT WATER BOTTLE"",""SET OF 4 ENGLISH ROSE PLACEMATS"",""SET OF 4 ENGLISH ROSE COASTERS"",""PINK NEW BAROQUECANDLESTICK CANDLE"",""BLUE NEW BAROQUE CANDLESTICK CANDLE"",""PINK OVAL JEWELLED MIRROR"",""SCANDINAVIAN REDS RIBBONS"",""WHITE HANGING HEART T-LIGHT HOLDER""]"
"536402",15513,"[""PAPER CHAIN KIT 50'S CHRISTMAS"",""HOT WATER BOTTLE BABUSHKA"",""PAPER CHAIN KIT VINTAGE CHRISTMAS""]"
"536403",12791,"[""HAND WARMER BIRD DESIGN"",""POSTAGE""]"
"536404",16218,"[""LUNCH BAG  BLACK SKULL."",""LUNCH BAG CARS BLUE"",""PARTY INVITES FOOTBALL"",""PARTY INVITES SPACEMAN"",""PARTY INVITES JAZZ HEARTS"",""SET 6 FOOTBALL CELEBRATION CANDLES"",""SET OF 6 GIRLS CELEBRATION CANDLES"",""PACK OF 72 RETROSPOT CAKE CASES"",""PACK OF 72 SKULL CAKE CASES"",""PACK OF 60 DINOSAUR CAKE CASES"",""SMALL POPCORN HOLDER"",""HEART IVORY TRELLIS LARGE"",""HEART IVORY TRELLIS SMALL"",""LUNCH BAG SUKI  DESIGN"",""PACK OF 60 SPACEBOY CAKE CASES"",""HEART OF WICKER SMALL"",""CLEAR DRAWER KNOB ACRYLIC EDWARDIAN"",""PINK DRAWER KNOB ACRYLIC EDWARDIAN"",""GREEN DRAWER KNOB ACRYLIC EDWARDIAN"",""BLUE DRAWER KNOB ACRYLIC EDWARDIAN"",""3 PIECE SPACEBOY COOKIE CUTTER SET"",""SET OF 3 HEART COOKIE CUTTERS"",""SET OF 3 BUTTERFLY COOKIE CUTTERS"",""72 SWEETHEART FAIRY CAKE CASES"",""ROMANTIC PINKS RIBBONS"",""BRIGHT BLUES RIBBONS"",""SCANDINAVIAN REDS RIBBONS"",""CHOCOLATE BOX RIBBONS""]"
"536405",14045,"[""SET/5 RED RETROSPOT LID GLASS BOWLS""]"
"536406",17850,"[""EDWARDIAN PARASOL RED"",""VINTAGE BILLBOARD LOVE/HATE MUG"",""VINTAGE BILLBOARD DRINK ME MUG"",""GLASS STAR FROSTED T-LIGHT HOLDER"",""SAVE THE PLANET MUG"",""SET 7 BABUSHKA NESTING BOXES"",""IVORY EMBROIDERED QUILT"",""RETRO COFFEE MUGS ASSORTED"",""WHITE METAL LANTERN"",""WOODEN PICTURE FRAME WHITE FINISH"",""WOOD 2 DRAWER CABINET WHITE FINISH"",""WOOD S/3 CABINET ANT WHITE FINISH"",""WOODEN FRAME ANTIQUE WHITE"",""RED WOOLLY HOTTIE WHITE HEART."",""KNITTED UNION FLAG HOT WATER BOTTLE"",""CREAM CUPID HEARTS COAT HANGER"",""WHITE HANGING HEART T-LIGHT HOLDER""]"
"536407",17850,"[""HAND WARMER RED POLKA DOT"",""HAND WARMER UNION JACK""]"
"536408",14307,"[""SLEEPING CAT ERASERS"",""DOORMAT RED RETROSPOT"",""12 PENCILS TALL TUBE SKULLS"",""SET OF 72 RETROSPOT PAPER  DOILIES"",""PACK OF 72 RETROSPOT CAKE CASES"",""WHITE SKULL HOT WATER BOTTLE"",""SKULLS  WATER TRANSFER TATTOOS"",""COSY HOUR GIANT TUBE MATCHES"",""BAG 500g SWIRLY MARBLES"",""RED HANGING HEART T-LIGHT HOLDER"",""HOME BUILDING BLOCK WORD"",""LOVE BUILDING BLOCK WORD"",""CHOCOLATE CALCULATOR"",""BLUE HARMONICA IN BOX"",""RED  HARMONICA IN BOX"",""HOT WATER BOTTLE TEA AND SYMPATHY"",""VICTORIAN GLASS HANGING T-LIGHT"",""LOVEBIRD HANGING DECORATION WHITE"",""AIRLINE BAG VINTAGE TOKYO 78"",""10 COLOUR SPACEBOY PEN"",""HANGING METAL STAR LANTERN"",""NATURAL SLATE RECTANGLE CHALKBOARD"",""MINI PAINT SET VINTAGE"",""MAGIC DRAWING SLATE BAKE A CAKE"",""MAGIC DRAWING SLATE DINOSAUR"",""PLASTERS IN TIN SKULLS"",""PENS ASSORTED FUNNY FACE"",""SET OF 6 SOLDIER SKITTLES"",""4 TRADITIONAL SPINNING TOPS"",""WRAP COWBOYS"",""CARD BIRTHDAY COWBOY"",""CARD CIRCUS PARADE"",""RIBBON REEL MAKING SNOWMEN"",""PHOTO FRAME CORNICE"",""PACK 3 BOXES CHRISTMAS PANNETONE"",""PACK 3 BOXES BIRD PANNETONE"",""BLUE COAT RACK PARIS FASHION"",""3 PIECE SPACEBOY COOKIE CUTTER SET"",""DOORMAT HEARTS"",""ROTATING SILVER ANGELS T-LIGHT HLDR"",""SET OF 20 KIDS COOKIE CUTTERS"",""ASSORTED COLOUR BIRD ORNAMENT"",""SILVER HANGING T-LIGHT HOLDER"",""RED WOOLLY HOTTIE WHITE HEART."",""SINGLE HEART ZINC T-LIGHT HOLDER"",""RED 3 PIECE RETROSPOT CUTLERY SET"",""BLACK/BLUE POLKADOT UMBRELLA"",""RED RETROSPOT UMBRELLA""]"
"536409",17908,"[""PARTY TIME PENCIL ERASERS"",""DISCO BALL CHRISTMAS DECORATION"",""RED HEART LUGGAGE TAG"",""JUMBO BAG OWLS"",""STRAWBERRY SHOPPER BAG"",""STRAWBERRY CHARLOTTE BAG"",""SANDWICH BATH SPONGE"",""BOOM BOX SPEAKER GIRLS"",""OWL DOORSTOP"",""AGED GLASS SILVER T-LIGHT HOLDER"",""WHITE SKULL HOT WATER BOTTLE"",""SET 12 LAVENDER  BOTANICAL T-LIGHTS"",""FLOWERS  STICKERS"",""PAISLEY PATTERN  STICKERS"",""CHRISTMAS HANGING HEART WITH BELL"",""PAINTED METAL HEART WITH HOLLY BELL"",""PAINTED METAL STAR WITH HOLLY BELLS"",""UNION JACK FLAG LUGGAGE TAG"",""UNION JACK FLAG LUGGAGE TAG"",""PINK UNION JACK  LUGGAGE TAG"",""JUMBO STORAGE BAG SUKI"",""DOORMAT UNION JACK GUNS AND ROSES"",""PACK OF 12 RED RETROSPOT TISSUES"",""6 RIBBONS SHIMMERING PINKS"",""6 RIBBONS ELEGANT CHRISTMAS"",""FULL ENGLISH BREAKFAST PLATE"",""SCOTTIE DOG HOT WATER BOTTLE"",""SCOTTIE DOG HOT WATER BOTTLE"",""CHOCOLATE HOT WATER BOTTLE"",""ANGEL DECORATION STARS ON DRESS"",""CAKE STAND VICTORIAN FILIGREE MED"",""SMALL POPCORN HOLDER"",""LARGE POPCORN HOLDER"",""MAGIC DRAWING SLATE CIRCUS PARADE"",""FELTCRAFT CUSHION OWL"",""HAND WARMER UNION JACK"",""TOY TIDY DOLLY GIRL DESIGN"",""SQUARECUSHION COVER PINK UNION FLAG"",""HAND WARMER SCOTTY DOG DESIGN"",""HAND WARMER SCOTTY DOG DESIGN"",""SET 2 TEA TOWELS I LOVE LONDON"",""SET 2 TEA TOWELS I LOVE LONDON"",""CHILDREN'S SPACEBOY MUG"",""SPACEBOY CHILDRENS EGG CUP"",""PINK B'FLY C/COVER W BOBBLES"",""BLACK CANDELABRA T-LIGHT HOLDER"",""BLACK CANDELABRA T-LIGHT HOLDER"",""VANILLA SCENT CANDLE JEWELLED BOX"",""PINK NEW BAROQUECANDLESTICK CANDLE"",""BLUE NEW BAROQUE CANDLESTICK CANDLE"",""JUMBO BAG RED RETROSPOT"",""JUMBO BAG STRAWBERRY"",""BLACK LOVE BIRD CANDLE"",""RED GLASS TASSLE BAG CHARM"",""5 STRAND GLASS NECKLACE CRYSTAL"",""5 STRAND GLASS NECKLACE CRYSTAL"",""5 STRAND GLASS NECKLACE CRYSTAL"",""CLEAR ACRYLIC FACETED BANGLE""]"
"536412",17920,"[""LUNCH BAG RED RETROSPOT"",""LUNCH BAG  BLACK SKULL."",""LUNCH BAG CARS BLUE"",""RED RETROSPOT MINI CASES"",""REX CASH+CARRY JUMBO SHOPPER"",""RED RETROSPOT PLATE"",""PINK  POLKADOT PLATE"",""BLUE POLKADOT PLATE"",""GREEN POLKADOT PLATE"",""12 DAISY PEGS IN WOOD BOX"",""12 DAISY PEGS IN WOOD BOX"",""12 DAISY PEGS IN WOOD BOX"",""12 DAISY PEGS IN WOOD BOX"",""12 DAISY PEGS IN WOOD BOX"",""FOLDING UMBRELLA RED/WHITE POLKADOT"",""FOLDING UMBRELLA RED/WHITE POLKADOT"",""FOLDING UMBRELLA CREAM POLKADOT"",""FOLDING UMBRELLA CREAM POLKADOT"",""FOLDING UMBRELLA PINKWHITE POLKADOT"",""FOLDING UMBRELLA WHITE/RED POLKADOT"",""RED TOADSTOOL LED NIGHT LIGHT"",""COSY SLIPPER SHOES SMALL  RED"",""COSY SLIPPER SHOES SMALL  RED"",""COSY SLIPPER SHOES SMALL  RED"",""COSY SLIPPER SHOES SMALL GREEN"",""RED RETROSPOT TAPE"",""6 RIBBONS RUSTIC CHARM"",""6 RIBBONS RUSTIC CHARM"",""6 RIBBONS RUSTIC CHARM"",""PAPER CHAIN KIT 50'S CHRISTMAS"",""CHRISTMAS CRAFT TREE TOP ANGEL"",""CHRISTMAS CRAFT TREE TOP ANGEL"",""CHRISTMAS CRAFT LITTLE FRIENDS"",""CHRISTMAS CRAFT LITTLE FRIENDS"",""SET 10 LIGHTS NIGHT OWL"",""SMALL POPCORN HOLDER"",""5 HOOK HANGER MAGIC TOADSTOOL"",""5 HOOK HANGER RED MAGIC TOADSTOOL"",""5 HOOK HANGER RED MAGIC TOADSTOOL"",""5 HOOK HANGER RED MAGIC TOADSTOOL"",""FELTCRAFT DOLL ROSIE"",""FELTCRAFT DOLL MOLLY"",""FELTCRAFT DOLL MOLLY"",""FELTCRAFT DOLL MOLLY"",""FELTCRAFT DOLL EMILY"",""ROUND SNACK BOXES SET OF4 WOODLAND"",""ROUND SNACK BOXES SET OF 4 SKULLS"",""ROUND SNACK BOXES SET OF 4 SKULLS"",""ROUND SNACK BOXES SET OF 4 FRUITS"",""LUNCH BAG SPACEBOY DESIGN"",""LUNCH BAG SUKI  DESIGN"",""BABUSHKA LIGHTS STRING OF 10"",""FELTCRAFT CUSHION OWL"",""FELTCRAFT CUSHION BUTTERFLY"",""FELTCRAFT CUSHION BUTTERFLY"",""FELTCRAFT CUSHION RABBIT"",""SPACEBOY LUNCH BOX"",""DOLLY GIRL LUNCH BOX"",""TRAVEL SEWING KIT"",""LUNCH BAG DOLLY GIRL DESIGN"",""FELTCRAFT PRINCESS CHARLOTTE DOLL"",""FELTCRAFT PRINCESS CHARLOTTE DOLL"",""FELTCRAFT PRINCESS CHARLOTTE DOLL"",""FELTCRAFT PRINCESS OLIVIA DOLL"",""SET OF 3 NOTEBOOKS IN PARCEL"",""SET OF 3 NOTEBOOKS IN PARCEL"",""HOT WATER BOTTLE BABUSHKA"",""SET 2 TEA TOWELS I LOVE LONDON"",""SET 2 TEA TOWELS I LOVE LONDON"",""TOTE BAG I LOVE LONDON"",""TOTE BAG I LOVE LONDON"",""FELTCRAFT CHRISTMAS FAIRY"",""FELTCRAFT CHRISTMAS FAIRY"",""JAM MAKING SET PRINTED"",""ROSE COTTAGE KEEPSAKE BOX"",""SOLDIERS EGG CUP"",""SCANDINAVIAN REDS RIBBONS"",""SCANDINAVIAN REDS RIBBONS"",""SCANDINAVIAN REDS RIBBONS"",""S/4 VALENTINE DECOUPAGE HEART BOX"",""S/4 VALENTINE DECOUPAGE HEART BOX""]"
